system,drift_type,support,tp,fp,fn,precision,recall,f1
query_rewrite_rag,G1_goal_drift,71,71,0,0,1.0000,1.0000,1.0000
query_rewrite_rag,G2_constraint_drift,70,0,0,70,0.0000,0.0000,0.0000
query_rewrite_rag,E1_evidence_drift,85,0,0,85,0.0000,0.0000,0.0000
query_rewrite_rag,E2_retrieval_drift,71,71,0,0,1.0000,1.0000,1.0000
query_rewrite_rag,T1_tool_state_drift,58,0,0,58,0.0000,0.0000,0.0000
query_rewrite_rag,M1_memory_drift,42,0,0,42,0.0000,0.0000,0.0000
query_rewrite_rag,U1_abstention_drift,57,0,0,57,0.0000,0.0000,0.0000
sage_r,G1_goal_drift,71,71,0,0,1.0000,1.0000,1.0000
sage_r,G2_constraint_drift,70,70,0,0,1.0000,1.0000,1.0000
sage_r,E1_evidence_drift,85,85,0,0,1.0000,1.0000,1.0000
sage_r,E2_retrieval_drift,71,71,0,0,1.0000,1.0000,1.0000
sage_r,T1_tool_state_drift,58,58,0,0,1.0000,1.0000,1.0000
sage_r,M1_memory_drift,42,42,0,0,1.0000,1.0000,1.0000
sage_r,U1_abstention_drift,57,57,0,0,1.0000,1.0000,1.0000
self_reflection,G1_goal_drift,71,71,0,0,1.0000,1.0000,1.0000
self_reflection,G2_constraint_drift,70,70,0,0,1.0000,1.0000,1.0000
self_reflection,E1_evidence_drift,85,85,0,0,1.0000,1.0000,1.0000
self_reflection,E2_retrieval_drift,71,0,0,71,0.0000,0.0000,0.0000
self_reflection,T1_tool_state_drift,58,0,0,58,0.0000,0.0000,0.0000
self_reflection,M1_memory_drift,42,0,0,42,0.0000,0.0000,0.0000
self_reflection,U1_abstention_drift,57,57,0,0,1.0000,1.0000,1.0000
vanilla_rag,G1_goal_drift,71,0,0,71,0.0000,0.0000,0.0000
vanilla_rag,G2_constraint_drift,70,0,0,70,0.0000,0.0000,0.0000
vanilla_rag,E1_evidence_drift,85,0,0,85,0.0000,0.0000,0.0000
vanilla_rag,E2_retrieval_drift,71,0,0,71,0.0000,0.0000,0.0000
vanilla_rag,T1_tool_state_drift,58,0,0,58,0.0000,0.0000,0.0000
vanilla_rag,M1_memory_drift,42,0,0,42,0.0000,0.0000,0.0000
vanilla_rag,U1_abstention_drift,57,0,0,57,0.0000,0.0000,0.0000
